epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,14080.8,1.30046,2.2927,0.93438,1.11051,0,0.58151,0.50549,0.50266,0.23023,0.57799,0.52747,0.48708,0.18773,2.28728,4.04259,1.8286,1.86953,0,0.0006965,0.0006965,0.0006965
81,14256.7,1.30743,2.33129,0.93676,1.10746,0,0.66038,0.49451,0.51899,0.22405,0.63103,0.47253,0.46987,0.18166,2.33005,3.98631,1.78757,1.93755,0,0.00068,0.00068,0.00068
82,14432.5,1.28161,2.2774,0.91535,1.09854,0,0.6772,0.46154,0.49893,0.23075,0.6772,0.46154,0.46758,0.18706,2.34727,3.94984,1.79057,2.01742,0,0.0006635,0.0006635,0.0006635
83,14608.4,1.2816,2.31261,0.92355,1.10394,0,0.72259,0.43956,0.50631,0.23182,0.62689,0.46154,0.472,0.19183,2.25429,3.93886,1.61755,1.95869,0,0.000647,0.000647,0.000647
84,14784.3,1.27909,2.25972,0.91822,1.10152,0,0.66451,0.47253,0.51299,0.23646,0.66451,0.47253,0.47676,0.19635,2.26804,3.84115,1.81656,1.84519,0,0.0006305,0.0006305,0.0006305
85,14960.3,1.27774,2.27098,0.91053,1.09701,0,0.6803,0.48352,0.51914,0.23646,0.63374,0.45055,0.46053,0.20897,2.29148,3.96344,1.78289,1.95412,0,0.000614,0.000614,0.000614
86,15136.2,1.25188,2.24475,0.90058,1.08946,0,0.57442,0.53398,0.51431,0.22408,0.55709,0.51648,0.46469,0.18049,2.30356,4.08385,1.81558,1.87797,0,0.0005975,0.0005975,0.0005975
87,15311.8,1.21558,2.21937,0.87432,1.08688,0,0.58026,0.5165,0.50877,0.23801,0.7568,0.4446,0.497,0.20574,2.27088,3.94035,1.76191,1.94038,0,0.000581,0.000581,0.000581
88,15487.4,1.23885,2.20141,0.88257,1.08156,0,0.66001,0.49451,0.50445,0.23193,0.7365,0.43956,0.48193,0.20058,2.21682,4.06195,1.65578,1.87881,0,0.0005645,0.0005645,0.0005645
89,15663.3,1.2139,2.18124,0.87088,1.07164,0,0.61293,0.53846,0.49734,0.22051,0.61293,0.53846,0.469,0.18399,2.33757,4.31474,1.72264,1.97742,0,0.000548,0.000548,0.000548
90,15839.3,1.20128,2.16314,0.85077,1.05884,0,0.61518,0.52747,0.50562,0.23985,0.6299,0.52747,0.48349,0.19792,2.21061,4.14086,1.74718,1.87634,0,0.0005315,0.0005315,0.0005315
91,16015.3,1.20013,2.15787,0.86471,1.07274,0,0.63783,0.53846,0.50923,0.23019,0.63783,0.53846,0.49791,0.19742,2.32378,4.1408,1.72491,2.03988,0,0.000515,0.000515,0.000515
92,16191.3,1.19658,2.17642,0.86673,1.06954,0,0.66284,0.56044,0.52417,0.24328,0.62633,0.52747,0.49658,0.20114,2.28378,4.02686,1.69228,1.92549,0,0.0004985,0.0004985,0.0004985
93,16367,1.18933,2.18319,0.8671,1.06478,0,0.74522,0.43956,0.50703,0.23644,0.76453,0.45055,0.49266,0.19765,2.27506,3.98871,1.71245,1.95036,0,0.000482,0.000482,0.000482
94,16543.1,1.17997,2.1379,0.85362,1.05515,0,0.71759,0.50264,0.54315,0.24207,0.67676,0.47253,0.49349,0.20017,2.26308,4.13745,1.61719,1.9351,0,0.0004655,0.0004655,0.0004655
95,16719.4,1.15655,2.13848,0.83705,1.05286,0,0.63845,0.48352,0.51857,0.23752,0.74941,0.42857,0.48785,0.19022,2.28482,4.02312,1.68734,1.948,0,0.000449,0.000449,0.000449
96,16895.6,1.16624,2.12807,0.8556,1.05605,0,0.66279,0.50549,0.49865,0.23263,0.63397,0.48352,0.4602,0.193,2.2497,4.18229,1.71271,1.92644,0,0.0004325,0.0004325,0.0004325
97,17071.8,1.15556,2.1326,0.83256,1.05038,0,0.57321,0.53135,0.48148,0.22561,0.67529,0.47253,0.47116,0.19351,2.29369,4.23279,1.80496,2.0018,0,0.000416,0.000416,0.000416
98,17247.6,1.15222,2.09946,0.83208,1.04269,0,0.66433,0.50026,0.49773,0.22731,0.67578,0.45814,0.46797,0.18468,2.32215,4.2121,1.75504,2.02521,0,0.0003995,0.0003995,0.0003995
99,17423.6,1.13285,2.07442,0.81663,1.03993,0,0.60543,0.52747,0.51301,0.23763,0.63373,0.41758,0.43933,0.18939,2.31784,4.12716,1.77889,2.04134,0,0.000383,0.000383,0.000383
100,17599.5,1.11671,2.04818,0.81055,1.04037,0,0.71595,0.46154,0.52074,0.24397,0.71595,0.46154,0.50045,0.19939,2.25546,4.08555,1.74902,1.97194,0,0.0003665,0.0003665,0.0003665
101,17775.5,1.12847,2.07794,0.83138,1.04348,0,0.59824,0.55638,0.51664,0.23521,0.68329,0.43956,0.46658,0.18421,2.2455,4.07042,1.73561,1.9465,0,0.00035,0.00035,0.00035
102,17951.4,1.10935,2.05164,0.80255,1.03646,0,0.73489,0.46154,0.50459,0.2338,0.75239,0.47253,0.49499,0.18817,2.30167,4.12467,1.77648,2.0308,0,0.0003335,0.0003335,0.0003335
103,18127.1,1.10597,2.06,0.81089,1.03033,0,0.62485,0.50549,0.51561,0.22832,0.71812,0.43956,0.46559,0.17839,2.30657,4.31638,1.77033,2.00101,0,0.000317,0.000317,0.000317
104,18302.9,1.11516,2.05175,0.80786,1.03025,0,0.66645,0.48352,0.51838,0.2426,0.70045,0.41758,0.47675,0.19319,2.25382,4.28967,1.6606,1.96096,0,0.0003005,0.0003005,0.0003005
105,18478.8,1.1167,2.04351,0.80883,1.03486,0,0.65567,0.51648,0.51127,0.22935,0.66562,0.47253,0.46167,0.17893,2.25458,4.29074,1.73978,1.94791,0,0.000284,0.000284,0.000284
106,18654.7,1.08195,2.02899,0.7815,1.0234,0,0.58063,0.52747,0.49517,0.23302,0.64998,0.46154,0.45814,0.18158,2.27166,4.48521,1.70795,1.96718,0,0.0002675,0.0002675,0.0002675
107,18830.5,1.08028,2.02624,0.7898,1.01675,0,0.59501,0.54945,0.52194,0.24336,0.69625,0.45055,0.46776,0.18787,2.26632,4.34514,1.70257,1.99494,0,0.000251,0.000251,0.000251
